step,rank,full_step_ns,advance_ns,observables_ns,visit_ns,evidence_resources_ns,csv_ns,checkpoint_ns,candidate_ns,state_copy_ns,velocity_halo_ns,thermo_ns,boundary_derived_ns,flux_ns,certificate_ns,residual_ns,equivalence_hash_ns,schur_prepare_ns,krylov_ns,recovery_ns,baseline_evaluations,extrapolation_evaluations,ladder_evaluations,incomplete_evaluations,rejected_extrapolations,reported_collective_subtotal,structured_control,ibm_control,pressure_calls,pressure_prepare_ns,pressure_solve_ns,pressure_close_ns,diagonal_calls,diagonal_prepare_ns,diagonal_solve_ns,diagonal_close_ns,spatial_calls,spatial_prepare_ns,spatial_solve_ns,spatial_close_ns,A_apply_ns,M_apply_ns,arnoldi_dot_ns,arnoldi_reduce_ns,arnoldi_update_ns,final_momentum_ns,terminal_metrics_ns,boundary_ledger_ns,structured_wait_ns,structured_control_ns,dropped_loops,scalar_remap_ns,scalar_coupling_sweeps,scalar_remap_iterations
1001,53,10621512942,10609890332,11137525,50,401762,83243,30,2493851262,730051,116279299,233398027,602159364,505152985,200226971,658664253,177215572,239752371,4704375206,18929276,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92867639,3492651222,16327065,1,146884732,1211723984,2602211,1727617497,2346669507,94148266,156216867,37707291,198571241,5189641,31305870,473807773,371872879,0,0,0,0
1001,54,10621514682,10609885212,11141185,40,404362,83853,30,2491996646,736350,116200079,232791390,602659967,505217956,200344807,658522979,175500720,239851628,4704470547,18772561,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92926024,3492739983,16207431,1,146925604,1211730564,2565130,1670576929,2346654515,101423069,191877956,35808914,198627363,5128929,31307110,453231560,382858594,0,0,0,0
1001,55,10621513252,10609890712,11135595,50,403292,83553,50,2491104351,702839,116230936,232120019,603444815,504693880,200684226,658658992,174550048,239776394,4704465897,18840083,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92889312,3492714122,16268303,1,146887082,1211751775,2571780,1686120811,2346242156,95239785,180728744,36003898,198571391,5185061,31310890,471628463,386195089,0,0,0,0
1001,56,10621515382,10609896052,11131705,50,403422,84123,30,2487214410,759162,116205867,229018322,606381585,507215888,198368496,658494218,170723631,239815487,4704182119,19084458,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92901153,3492508266,16461037,1,146914334,1211673853,2623421,1670238247,2345038787,95619251,191275362,34679645,198621623,5141569,31295209,482360977,419070976,0,0,0,0
1001,57,10621513292,10609901692,11123535,70,404602,83363,30,2486958935,725171,116285121,229899279,605656941,506650973,198725967,658669160,170311288,239764333,4704337994,18986587,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92878961,3492639760,16354056,1,146885372,1211698234,2632531,1662492527,2354826152,99569028,186231913,34387545,198573301,5191951,31304170,495344914,410462290,0,0,0,0
1001,58,10621515602,10609902932,11123865,40,404752,83983,30,2487125998,648229,116221894,229924052,606556330,505827546,198700556,658503697,170702422,239838716,4704234431,19019658,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92909782,3492556808,16403277,1,146928934,1211677623,2616381,1631238703,2358279806,103912121,210136786,36635390,198625953,5132949,31303999,484748378,411587714,0,0,0,0
1001,59,10621514172,10609896232,11131765,50,402702,83393,30,2486507996,576268,116299697,230082626,605467979,506907598,198478887,658634832,170018749,239773763,4704253582,19066659,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92884461,3492572819,16419187,1,146889302,1211680763,2647472,1661093835,2355159155,99708239,185779655,36771580,198572641,5196581,31297410,480192168,418484419,0,0,0,0
1001,60,10621515792,10609898932,11131085,50,401402,84293,30,2486886120,769003,116190686,230772037,604631778,507793817,197798058,658523527,170361612,239806127,4704195779,19062240,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92884813,3492524036,16436359,1,146921314,1211671743,2625881,1658261392,2350555248,100819122,189416209,35957340,198623783,5135289,31302649,317284715,409432361,0,0,0,0
1001,61,10621510622,10609894772,11130055,40,402492,83153,110,2487477889,700331,116250708,230569247,604983263,507101044,198289493,658618731,170933848,239779463,4704229382,19088988,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92891581,3492537208,16447907,1,146887882,1211692174,2641081,1648758342,2353592752,99525193,191785055,36597568,198573611,5186071,31300019,483962624,415179554,0,0,0,0
1001,62,10621515582,10609903772,11124165,40,403852,83723,30,2486707742,747252,116231837,229724854,605691123,507076766,198498627,658534009,170160974,239798197,4704238680,19026917,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92867173,3492574247,16395036,1,146931024,1211664433,2631881,1665921546,2351793918,97405722,189182070,36519877,198629943,5131009,31304060,460667276,418488712,0,0,0,0
